Question,A,B,C,D,Answer,Explanation,Topic
A charge q is placed on an equipotential surface and electric field intensity at that place is E What is the work done to move the charge by a distance x on the surface?,x*\(\frac {q}{E}\,x*q*E,E*\(\frac {x}{q}\,Zero,D,"As the surface is equipotential, all the points on the surface of the plane have the same potential values. Therefore work done to move the charge by a distance x on that surface is zero. The electric field plays no role here.",Physics
"A smaller sphere has potential 50V and a larger sphere has potential 100V How should they be placed so that if they are connected with the help of a wire, the charge will flow from the smaller sphere to the larger sphere? Both the spheres are conducting and hollow",Concentrically,Touching each other,It is never possible,The smaller sphere should be grounded,A,"We know that for a conducting sphere, the charge is always distributed on its outer surface. We also know that charge flows from higher potential to lower potential. But if we put the smaller sphere inside the larger sphere and connect them with a conductor, they will act as a single conductor and charge will be distributed to its outer surface, i.e. charge will flow to the larger sphere.",Physics
The work done to move a charge of 20C by a distance of 2cm is 2J What is the potential difference between those two points?,1V,0.1V,10V,20V,B,"Work done to move a charge q in a potential difference of V is equal to q*V. According to the question, 2J=20C*Potential difference. Therefore, potential difference=\(\frac {2}{20}\)V=0.1V. The definition of 1J thus becomes, work done to move a charge of 1C from one point to another where the potential difference between the two points is 1V.",Physics
"+q charges are placed at a, 3a, 5a… (up to infinity) and –q charges are placed at 2a, 4a, 6a… (up to infinity) What is the total potential energy at origin (0, 0)?",Zero,\(\frac {q}{a}\,"\(\frac {(q \, log2}{a}\",\(\frac {qe^2}{a}\,C,"The total potential energy at the origin due to the system is V=\(\frac {q}{a} – \frac {q}{2a} + \frac {q}{3a} – \frac {q}{4a} + \frac {q}{5a}\)……(up to infinity), where a, 2a, 3a… are the distances of the charges from the origin. Now, taking \(\frac {q}{a}\) common from the terms, we get V=\(\frac {q}{a} (1 – \frac {1}{2} + \frac {1}{3} – \frac {1}{4} + \frac {1}{5})\). By substituting the expansion of log2, we can get V=\(\frac {(q \, log2)}{a}\).",Physics
"What is the potential energy at the center of an equilateral triangle if +5esu, +5esu and -10esu are placed at the corners of the triangle? The triangle has a side length of √3cm",20V,5V,\(\frac {5}{3}\V,0V,D,"Distance of the center of the triangle from every corner point is = \(\frac {2}{3} * \frac {\sqrt 3}{2}\) * √3cm=1cm [as we know that the center divides the median in a 21 ratio and the length of the median is \(\frac {2}{3}\)*side length]. Therefore, the potential at the center is =\(\frac {5}{1} + \frac {5}{1} -\frac {10}{1}\)=0 esu Volt.",Physics
"+q charges are placed at the points (1, 0), (2, 0), (4, 0), (8, 0) … (up to infinity) What is the potential at the origin due to these charges?",\(\frac {2q}{3}\,2q,\(\frac {q}{3}\,Infinity,B,"Electric potential due to the charges at the origin= q*\((\frac {1}{1} + \frac {1}{2} + \frac {1}{4} + \frac {1}{8} +…..=q*\frac {1}{1-\frac {1}{2}})\)=2q [by applying the formula of infinite G.P. series]. It can be shown that if the charges are alternately positive and negative, then the potential at the center would be \(\frac {2q}{3}\) .",Physics
"Two isolated metallic spheres, one with a radius R and another with a radius 5R, each carries a charge ‘q’ uniformly distributed over the entire surface Which sphere stores more electric potential energy?",The sphere with radius 5R,Both of the spheres will have the same energy,The sphere with radius R,Initially it will be the sphere with radius 5R then it will shift to the sphere with radius R,C,The sphere with radius R stores more electric potential energy. According to the electric potential energy equation  → U = \(\frac {1}{(4\pi \varepsilon_o)} \times [ \frac {q_1q_2}{r} ]\),Physics
"There are two charges → Q1 = +q and charge Q2 = +2q From the initial point (Q), Q1 is at a distance of r and Q2 is at a distance 2r Which charge (Q1 or Q2) will have higher electrostatic potential energy?",Q1,Both will have the same energy,Q2,The information given is not enough to determine,B,Electrostatic potential energy of Q1 → U1 = \(\frac {1}{(4\pi \varepsilon_o)}\) × [Q × \(\frac {q}{r}\)] ……….1,Physics
What is the net electrostatic field in the interior of a conductor?,Positive,Negative,Zero,Depends on the nature of the conductor,C,"Net electrostatic field is zero in the interior of a conductor. When a conductor is placed in an electric field, its free electrons begin to move in the opposite direction. Negative charges are induced on the left end and positive charges on the right end of the conductor. The process continues until the electric field set up by induced charges becomes equal and opposite the external field.",Physics
What is the electric field in the cavity of a hollow charged conductor?,Positive,Negative,Zero,Depends on the nature of the conductor,C,"By Gauss’s theorem, the charge enclosed by the gaussian surface is zero. Consequently, the electric field must be zero at every point inside the cavity. Then, the entire excess charge lies on its surface.",Physics
